,cpu,gpu,model,ram
3590,"Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652, 2015, 64 bit, octa-core, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 510 GPU",Qualcomm Adreno 510,Aquaris X5 Plus LTE Dual SIM 32GB,3.00
3591,"Spreadtrum SC9830i, 2015, 32 bit, quad-core, 28 nm, ARM Mali-400 GPU",ARM Mali-400MP2,SM-J320FN/DD Galaxy J3 2016 Duos LTE,1.50
3592,"MediaTek MT6735A, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,4G501 Zap 6 Posh LTE Dual SIM,2.00
3593,"MediaTek MT6735A, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,L7 Dual SIM TD-LTE,3.00
3594,"Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652, 2015, 64 bit, octa-core, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 510 GPU",Qualcomm Adreno 510,Aquaris X5 Plus LTE Dual SIM 64GB,3.00
3595,"Qualcomm Snapdragon 617 MSM8952, 2015, 64 bit, octa-core, 28 nm, Qualcomm Adreno 405 GPU",Qualcomm Adreno 405,GM5 Plus Android One Dual SIM LTE-A,3.00
3596,"Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652, 2015, 64 bit, octa-core, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 510 GPU",Qualcomm Adreno 510,G5 SE H840 TD-LTE,3.00
3597,"MediaTek MT6755 (Helio P10), 2015, 64 bit, octa-core, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,GN9011 Elife S8 Dual SIM TD-LTE 64GB,4.00
3598,"Intel Atom 4th Gen Z3735F (Bay Trail), 2014, 64 bit, quad-core, 32 Kbyte I-Cache, 24 Kbyte D-Cache, 2048 Kbyte L2, 22 nm, Intel HD Graphics GPU",Intel HD Graphics,Twinpad 3G,2.00
3599,"MediaTek MT6797 (Helio X25), 2016, 64 bit, deca-core, 20 nm, ARM Mali-T880 GPU",ARM Mali-T880MP4,Speed 8 ZP955 Dual SIM LTE,4.00
3600,"MediaTek MT6735, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,Speed 7C Dual SIM LTE,2.00
3601,"MediaTek MT6755 (Helio P10), 2015, 64 bit, octa-core, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,X3 Soul Pro Dual SIM TD-LTE,4.00
3602,"Qualcomm Snapdragon 400 MSM8928, 2013, 32 bit, quad-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 305 GPU",Qualcomm Adreno 305,Desire 825 TD-LTE D825u,2.00
3603,"Qualcomm Snapdragon 400 MSM8928, 2013, 32 bit, quad-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 305 GPU",Qualcomm Adreno 305,Desire 630 Dual SIM TD-LTE,2.00
3604,"Spreadtrum SC9830A, 2014, 32 bit, quad-core, 28 nm, ARM Mali-400 GPU",ARM Mali-400MP2,Xolo Era X TD-LTE Dual SIM,2.00
3605,"Qualcomm Snapdragon 820 MSM8996, 2015, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Xperia X Performance TD-LTE Dual F8132,3.00
3606,"Qualcomm Snapdragon 820 MSM8996, 2015, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Mi5 Pro Ceramic Edition Dual SIM TD-LTE 128GB 2015628,4.00
