,full_link
1390,http://phonedb.net/index.php?m=device&id=12033&c=gionee_x1_td-lte_dual_sim
1391,http://phonedb.net/index.php?m=device&id=12032&c=samsung_sm-n950f_galaxy_note_8_td-lte__samsung_baikal
1392,http://phonedb.net/index.php?m=device&id=12031&c=xiaomi_redmi_note_5a_s_dual_sim_td-lte_cn_32gb_mde6s__xiaomi_ugg
1393,http://phonedb.net/index.php?m=device&id=12030&c=samsung_sm-n950u_galaxy_note_8_td-lte_us__samsung_baikal
1394,http://phonedb.net/index.php?m=device&id=12029&c=coolpad_cool_m7_dual_sim_td-lte_pol-a0
1395,http://phonedb.net/index.php?m=device&id=12026&c=polaroid_cosmo_k_plus_lte_p5526a
1396,http://phonedb.net/index.php?m=device&id=12027&c=polaroid_cosmo_k_lte_p5006a
1397,http://phonedb.net/index.php?m=device&id=12028&c=polaroid_jet_c7_lte_pmid7102dc
1398,http://phonedb.net/index.php?m=device&id=12024&c=nomu_s30_mini_dual_sim_td-lte
1399,http://phonedb.net/index.php?m=device&id=12023&c=ngm_explorer_dual_sim
1400,http://phonedb.net/index.php?m=device&id=12014&c=ino_mobile_s9_lte
1401,http://phonedb.net/index.php?m=device&id=12022&c=xiaomi_redmi_note_5a_s_dual_sim_td-lte_cn_64gb_mdt6s__xiaomi_ugg
1402,http://phonedb.net/index.php?m=device&id=12021&c=ngm_dynamic_e451_dual_sim_e451d
1403,http://phonedb.net/index.php?m=device&id=12020&c=ngm_dynamic_e553_dual_sim_e553d
1404,http://phonedb.net/index.php?m=device&id=12019&c=zte_nubia_n1_global_dual_sim_td-lte_nx541j
1405,http://phonedb.net/index.php?m=device&id=12018&c=zte_nubia_z17_premium_edition_dual_sim_td-lte_nx563h_64gb
1406,http://phonedb.net/index.php?m=device&id=12015&c=ngm_you_color_smart_5_plus_dual_sim_lte_32gb_yc-smart50p3
1407,http://phonedb.net/index.php?m=device&id=12017&c=ngm_you_color_smart_5_dual_sim_lte_yc-smart50
1408,http://phonedb.net/index.php?m=device&id=12016&c=samsung_sm-t385c_galaxy_tab_a2_8.0_2017_td-lte_32gb__galaxy_tab_a2_s__samsung_t380
1409,http://phonedb.net/index.php?m=device&id=12010&c=asus_zenfone_4_selfie_pro_dual_sim_td-lte_cn_zd552kl
1410,http://phonedb.net/index.php?m=device&id=12013&c=huawei_y7_2017_dual_sim_td-lte_apac_trt-l22__y7_prime__honor_holly_4_plus_trt-lx2__huawei_toronto
1411,http://phonedb.net/index.php?m=device&id=11982&c=xiaomi_mi_a1_global_dual_sim_td-lte_mdg2__mi_5x_android_one__xiaomi_tisson
1412,http://phonedb.net/index.php?m=device&id=12012&c=samsung_sm-g1650_galaxy_folder_2_dual_sim_td-lte
1413,http://phonedb.net/index.php?m=device&id=12011&c=lg_m700dsn_q6plus_dual_sim_td-lte_64gb
1414,http://phonedb.net/index.php?m=device&id=12009&c=asus_zenfone_4_selfie_pro_dual_sim_lte_us_br_zd552kl
1415,http://phonedb.net/index.php?m=device&id=12007&c=xiaomi_redmi_4_dual_sim_td-lte_in_64gb__xiaomi_prada
1416,http://phonedb.net/index.php?m=device&id=12008&c=asus_zenfone_4_dual_sim_td-lte_jp_tw-3ca_ze554kl
1417,http://phonedb.net/index.php?m=device&id=12006&c=xiaomi_redmi_4_dual_sim_td-lte_in_32gb__xiaomi_prada
1418,http://phonedb.net/index.php?m=device&id=12005&c=asus_zenfone_4_pro_dual_sim_global_td-lte_zs551kl_64gb
1419,http://phonedb.net/index.php?m=device&id=12004&c=asus_zenfone_4_selfie_global_dual_sim_td-lte_zd553kl
1420,http://phonedb.net/index.php?m=device&id=12003&c=sony_xperia_xz1_compact_td-lte_g8441__pf41__sony_lilac
1421,http://phonedb.net/index.php?m=device&id=12002&c=xiaomi_redmi_note_5a_dual_sim_td-lte_cn_16gb_mde6___xiaomi_ugg_lite
1422,http://phonedb.net/index.php?m=device&id=11997&c=benq_f55_4g_lte
1423,http://phonedb.net/index.php?m=device&id=12001&c=asus_zenfone_4_selfie_pro_dual_sim_td-lte_tw_jp_hk_zd552kl
1424,http://phonedb.net/index.php?m=device&id=11999&c=motorola_moto_x4_hdtv_dual_sim_lte-a_latam_64gb_xt1900-6
1425,http://phonedb.net/index.php?m=device&id=12000&c=xiaomi_redmi_note_5a_s_dual_sim_td-lte_cn_32gb_mdt6s__xiaomi_ugg
1426,http://phonedb.net/index.php?m=device&id=11996&c=xiaomi_redmi_note_5a_dual_sim_td-lte_cn_16gb_mdt6__xiaomi_ugg_lite
1427,http://phonedb.net/index.php?m=device&id=11998&c=lg_vs996_v30_td-lte__lg_joan
1428,http://phonedb.net/index.php?m=device&id=11992&c=karbonn_aura_note_play_dual_sim_plus_td-lte
1429,http://phonedb.net/index.php?m=device&id=11995&c=karbonn_a41_power_dual_sim_plus_td-lte
1430,http://phonedb.net/index.php?m=device&id=11993&c=karbonn_aura_note_power_4g_dual_sim_plus_td-lte
1431,http://phonedb.net/index.php?m=device&id=11994&c=karbonn_k9_kavach_4g_v07_dual_sim_plus_td-lte
1432,http://phonedb.net/index.php?m=device&id=11991&c=karbonn_aura_note_2_dual_sim_plus_td-lte
1433,http://phonedb.net/index.php?m=device&id=11990&c=blu_vivo_8_dual_sim_lte
1434,http://phonedb.net/index.php?m=device&id=11989&c=xiaomi_redmi_4_dual_sim_td-lte_in_16gb__xiaomi_prada
1435,http://phonedb.net/index.php?m=device&id=11364&c=htc_u11_life_global_lte-a_32gb__htc_ocean_life
1436,http://phonedb.net/index.php?m=device&id=11863&c=asus_zenfone_4_selfie_pro_global_dual_sim_td-lte_zd552kl
1437,http://phonedb.net/index.php?m=device&id=11864&c=asus_zenfone_4_global_dual_sim_td-lte_ze554kl
1438,http://phonedb.net/index.php?m=device&id=11988&c=zte_z982_blade_z_max_lte-a
1439,http://phonedb.net/index.php?m=device&id=11987&c=hisense_t5_plus_dual_sim_td-lte
1440,http://phonedb.net/index.php?m=device&id=11984&c=panasonic_eluga_a3_td-lte
1441,http://phonedb.net/index.php?m=device&id=11985&c=panasonic_eluga_a3_pro_td-lte_eb-90s52a3p
1442,http://phonedb.net/index.php?m=device&id=11986&c=yota_phone_3_td-lte_128gb__yota3__yota_y3
1443,http://phonedb.net/index.php?m=device&id=11983&c=samsung_sm-c7108_galaxy_c8_duos_td-lte_32gb__samsung_c710
1444,http://phonedb.net/index.php?m=device&id=11981&c=xiaomi_mi_5x_dual_sim_td-lte_cn_32gb__xiaomi_tiffany
1445,http://phonedb.net/index.php?m=device&id=11979&c=thl_t9_plus_dual_sim_lte
1446,http://phonedb.net/index.php?m=device&id=11978&c=thl_t9_pro_dual_sim_lte
1447,http://phonedb.net/index.php?m=device&id=11977&c=thl_t9_dual_sim_lte
1448,http://phonedb.net/index.php?m=device&id=11980&c=thl_knight_1_dual_sim_lte
1449,http://phonedb.net/index.php?m=device&id=11976&c=umi_umidigi_s2_pro_dual_sim_lte-a
1450,http://phonedb.net/index.php?m=device&id=11975&c=lenovo_k8_note_dual_sim_td-lte_in_xt1902-3_32gb
1451,http://phonedb.net/index.php?m=device&id=11974&c=lg_x800l_q8_td-lte
1452,http://phonedb.net/index.php?m=device&id=11973&c=oppo_r11_fc_barcelona_limited_edition_dual_sim_td-lte_cn_r11
1453,http://phonedb.net/index.php?m=device&id=11964&c=sharp_aquos_s2_dual_sim_lte_64gb_fs8010
1454,http://phonedb.net/index.php?m=device&id=11965&c=lenovo_k8_note_dual_sim_td-lte_in_xt1902-3_64gb
1455,http://phonedb.net/index.php?m=device&id=11970&c=lg_v533_g_pad_iv_8.0_fhd_lte__lg_b6
1456,http://phonedb.net/index.php?m=device&id=11972&c=yota_phone_3_td-lte_64gb__yota3__yota_y3
1457,http://phonedb.net/index.php?m=device&id=11829&c=lg_v530_gpad_x2_8.0_plus_fhd_lte__lg_b6
1458,http://phonedb.net/index.php?m=device&id=11969&c=lg_p451l_g_pad_iv_8.0_fhd_lte__lg_b6
1459,http://phonedb.net/index.php?m=device&id=11968&c=ziox_astra_metal_4g_dual_sim_td-lte
1460,http://phonedb.net/index.php?m=device&id=11966&c=ziox_astra_titan_4g_dual_sim_td-lte
1461,http://phonedb.net/index.php?m=device&id=11967&c=ziox_astra_colors_4g_dual_sim_td-lte
1462,http://phonedb.net/index.php?m=device&id=11963&c=sony_xperia_xz1_td-lte_g8341__sony_pf31
1463,http://phonedb.net/index.php?m=device&id=11951&c=umi_umidigi_s_dual_sim_lte-a
1464,"http://phonedb.net/index.php?m=device&id=11962&c=apple_iphone_8_a1863_td-lte_256gb__apple_iphone_10,1"
1465,http://phonedb.net/index.php?m=device&id=11959&c=umi_umidigi_z_pro_dual_sim_lte-a
1466,http://phonedb.net/index.php?m=device&id=11954&c=umi_umidigi_z1_dual_sim_lte-a
1467,http://phonedb.net/index.php?m=device&id=11957&c=umi_umidigi_g_dual_sim_lte
1468,http://phonedb.net/index.php?m=device&id=11953&c=umi_umidigi_c_note_2_dual_sim_lte-a
1469,http://phonedb.net/index.php?m=device&id=11958&c=umi_umidigi_z_dual_sim_lte-a
1470,http://phonedb.net/index.php?m=device&id=11952&c=umi_umidigi_c2_dual_sim_lte-a
1471,http://phonedb.net/index.php?m=device&id=11961&c=videocon_graphite_1_v45ed_dual_sim_td-lte
1472,http://phonedb.net/index.php?m=device&id=11955&c=umi_umidigi_z1_pro_dual_sim_lte-a
1473,http://phonedb.net/index.php?m=device&id=11956&c=umi_umidigi_london_dual_sim
1474,http://phonedb.net/index.php?m=device&id=11960&c=lg_m257pr_k_series_k10_2017_lte-a__lg_lv517
1475,http://phonedb.net/index.php?m=device&id=11948&c=videocon_graphite_2_v45gd_dual_sim_td-lte
1476,http://phonedb.net/index.php?m=device&id=11942&c=videocon_ultra_30_v50nl_dual_sim_td-lte
1477,http://phonedb.net/index.php?m=device&id=11939&c=videocon_delite_11plus_dual_sim_td-lte
1478,http://phonedb.net/index.php?m=device&id=11946&c=videocon_ultra_50_v50ll_dual_sim_td-lte
1479,http://phonedb.net/index.php?m=device&id=11943&c=videocon_krypton_22plus_v50tf_dual_sim_td-lte
1480,http://phonedb.net/index.php?m=device&id=11950&c=bluboo_s8_dual_sim_lte
1481,http://phonedb.net/index.php?m=device&id=11947&c=videocon_delite_21_v50mb_dual_sim_td-lte_v504730
1482,http://phonedb.net/index.php?m=device&id=11944&c=videocon_krypton_30_dual_sim_td-lte
1483,http://phonedb.net/index.php?m=device&id=11949&c=samsung_sm-g165n_galaxy_folder_2_3g
1484,http://phonedb.net/index.php?m=device&id=11945&c=videocon_cube_3_v50jl_dual_sim_td-lte_v502930
1485,http://phonedb.net/index.php?m=device&id=11940&c=videocon_delite_11_v50ma_dual_sim_td-lte_v503630
1486,http://phonedb.net/index.php?m=device&id=11938&c=videocon_krypton_3_v50jg_dual_sim_td-lte_v502430
1487,http://phonedb.net/index.php?m=device&id=11941&c=lg_m700dsk_q6plus_dual_sim_td-lte_in_64gb__q6_plus
1488,http://phonedb.net/index.php?m=device&id=11937&c=t-mobile_revvl_lte
1489,http://phonedb.net/index.php?m=device&id=11936&c=xiaomi_mi_6_mercury_silver_limited_edition_dual_sim_td-lte_cn_128gb_mce16__xiaomi_sagit
1490,http://phonedb.net/index.php?m=device&id=11935&c=asus_zenfone_ar_lte-a_na_128gb_zs571kl
1491,http://phonedb.net/index.php?m=device&id=11927&c=micromax_q4311_selfie_2_dual_sim_lte
1492,http://phonedb.net/index.php?m=device&id=11930&c=motorola_moto_g5s_plus_global_td-lte_32gb_xt1803__motorola_sanders
1493,http://phonedb.net/index.php?m=device&id=11934&c=meizu_pro_7s_premium_edition_dual_sim_td-lte_cn_128gb_m792q-l
1494,http://phonedb.net/index.php?m=device&id=11933&c=lg_us701_x_series_x_venture_lte-a__lg_lv9n
1495,http://phonedb.net/index.php?m=device&id=11931&c=motorola_moto_g5s_global_td-lte_32gb_xt1793__g5_special_edition__motorola_montana
1496,http://phonedb.net/index.php?m=device&id=11932&c=lg_m710h_x_series_x_venture_lte-a__lg_lv9n
1497,http://phonedb.net/index.php?m=device&id=11929&c=motorola_moto_g5s_plus_td-lte_na_32gb_xt1806__motorola_sanders
1498,http://phonedb.net/index.php?m=device&id=11920&c=motorola_moto_z2_force_edition_lte-a_xt1789-02
1499,http://phonedb.net/index.php?m=device&id=11923&c=oppo_a77_dual_sim_td-lte_cn_a77t
1500,http://phonedb.net/index.php?m=device&id=11926&c=swipe_elite_sense_dual_sim_td-lte
1501,http://phonedb.net/index.php?m=device&id=11928&c=swipe_konnect_star_td-lte_dual_sim
1502,http://phonedb.net/index.php?m=device&id=11914&c=alcatel_a30_plus_lte_5049s
1503,http://phonedb.net/index.php?m=device&id=11925&c=meizu_pro_7_standard_edition_dual_sim_td-lte_cn_64gb_m792q
1504,http://phonedb.net/index.php?m=device&id=11905&c=infocus_turbo_5_dual_sim_td-lte_if9001
1505,http://phonedb.net/index.php?m=device&id=11903&c=cherry_mobile_taiji_dual_sim_lte
1506,http://phonedb.net/index.php?m=device&id=11921&c=motorola_moto_z2_force_edition_dual_sim_global_td-lte_xt1789-05
1507,http://phonedb.net/index.php?m=device&id=11924&c=motorola_moto_g5s_plus_td-lte_na_64gb_xt1806__motorola_sanders
1508,http://phonedb.net/index.php?m=device&id=11922&c=oppo_a77_dual_sim_td-lte_cn
1509,http://phonedb.net/index.php?m=device&id=11916&c=lg_x600kp_q6plus_td-lte_64gb
1510,http://phonedb.net/index.php?m=device&id=11919&c=motorola_moto_z2_force_edition_td-lte_xt1789-03
1511,http://phonedb.net/index.php?m=device&id=11918&c=huawei_mediapad_t3_7.0_2017_3g_16gb_bg2-u01
1512,http://phonedb.net/index.php?m=device&id=11917&c=samsung_sm-n935fds_galaxy_note_fe_td-lte
1513,http://phonedb.net/index.php?m=device&id=11915&c=lg_x600sp_q6plus_td-lte_64gb
1514,http://phonedb.net/index.php?m=device&id=11913&c=alcatel_a50_lte_5085g
1515,http://phonedb.net/index.php?m=device&id=11870&c=lg_h932_v30_td-lte__h932pr__lg_joan
1516,http://phonedb.net/index.php?m=device&id=11910&c=rim_blackberry_keyone_bbb100-4_td-lte_cn_64gb__tcl_mercury
1517,http://phonedb.net/index.php?m=device&id=11912&c=micromax_canvas_1_td-lte_dual_sim
1518,http://phonedb.net/index.php?m=device&id=11911&c=motorola_moto_z2_force_edition_td-lte_xt1789-04
1519,http://phonedb.net/index.php?m=device&id=11909&c=rim_blackberry_keyone_limited_edition_black_bbb100-7_dual_sim_td-lte_64gb__tcl_mercury
1520,http://phonedb.net/index.php?m=device&id=11908&c=samsung_sm-n950fds_galaxy_note_8_duos_td-lte_128gb__sm-n950fd__samsung_baikal
1521,http://phonedb.net/index.php?m=device&id=11906&c=alcatel_one_touch_idol_5s_td-lte_am_6060s
1522,http://phonedb.net/index.php?m=device&id=11907&c=asus_zenfone_4_max_dual_sim_td-lte_32gb_zc550tl
1523,http://phonedb.net/index.php?m=device&id=11886&c=panasonic_p55_max_dual_sim_td-lte
1524,http://phonedb.net/index.php?m=device&id=11891&c=motorola_moto_c_dual_sim_lte_latam_xt1757__motorola_watson
1525,http://phonedb.net/index.php?m=device&id=11904&c=xiaomi_mi_5x_dual_sim_td-lte_cn_64gb__xiaomi_tiffany
1526,http://phonedb.net/index.php?m=device&id=11896&c=motorola_moto_c_plus_lte_latam_xt1725
1527,http://phonedb.net/index.php?m=device&id=11902&c=samsung_sm-j701fds_galaxy_j7_nxt_2017_duos_td-lte__sm-j710fz_galaxy_j7_core__samsung_j701
1528,http://phonedb.net/index.php?m=device&id=11901&c=samsung_sm-j730gds_galaxy_j7_pro_2017_duos_td-lte__samsung_j730
1529,http://phonedb.net/index.php?m=device&id=11895&c=motorola_moto_c_dual_sim_xt1750__motorola_watson
1530,http://phonedb.net/index.php?m=device&id=11900&c=htc_u11_td-lte_na_128gb_u-3f__htc_ocean
1531,http://phonedb.net/index.php?m=device&id=11899&c=motorola_moto_z2_force_edition_lte-a_xt1789-01__moto_z_force_2nd_gen
1532,http://phonedb.net/index.php?m=device&id=11898&c=meizu_pro_7_plus_premium_edition_dual_sim_td-lte_cn_128gb_m793q
1533,http://phonedb.net/index.php?m=device&id=11897&c=motorola_moto_c_plus_hdtv_dual_sim_lte_latam_xt1726
1534,http://phonedb.net/index.php?m=device&id=11893&c=motorola_moto_c_dual_sim_td-lte_au_xt1758__motorola_watson
1535,http://phonedb.net/index.php?m=device&id=11894&c=lg_x600lp_q6plus_td-lte_64gb
1536,http://phonedb.net/index.php?m=device&id=11892&c=porsche_design_huawei_smartwatch_p9820__huawei_leo
1537,http://phonedb.net/index.php?m=device&id=11890&c=motorola_moto_c_lte_latam_xt1756__motorola_watson
1538,http://phonedb.net/index.php?m=device&id=11889&c=lg_x600k_q6_td-lte_32gb
1539,http://phonedb.net/index.php?m=device&id=11888&c=motorola_moto_c_plus_dual_sim_td-lte_in_id_xt1721
1540,http://phonedb.net/index.php?m=device&id=11887&c=lg_x600s_q6_td-lte_32gb
1541,http://phonedb.net/index.php?m=device&id=11885&c=blu_tank_xtreme_pro_dual_sim_lte_t0010uu
1542,http://phonedb.net/index.php?m=device&id=11867&c=sharp_aquos_s2_dual_sim_lte_128gb_fs8016
1543,http://phonedb.net/index.php?m=device&id=11884&c=motorola_moto_e4_dual_sim_td-lte_au_xt1769__motorola_andy
1544,http://phonedb.net/index.php?m=device&id=11880&c=nokia_3_dual_sim_lte_am
1545,http://phonedb.net/index.php?m=device&id=11883&c=motorola_moto_e4_dual_sim_td-lte_in_xt1760__motorola_andy
1546,http://phonedb.net/index.php?m=device&id=11882&c=motorola_moto_e4_plus_dual_sim_td-lte_emea_xt1771__motorola_george
1547,http://phonedb.net/index.php?m=device&id=11881&c=nokia_5_dual_sim_global_td-lte__hmd_heart
1548,http://phonedb.net/index.php?m=device&id=11879&c=nokia_3_global_td-lte
1549,http://phonedb.net/index.php?m=device&id=11878&c=samsung_sm-c7100_galaxy_c8_duos_td-lte_32gb__galaxy_c7_2017__samsung_c710
1550,http://phonedb.net/index.php?m=device&id=11877&c=samsung_sm-j330g_galaxy_j3_2017_td-lte__samsung_j330
1551,http://phonedb.net/index.php?m=device&id=11876&c=lg_x600l_q6_td-lte_32gb
1552,http://phonedb.net/index.php?m=device&id=11875&c=lg_m700a_q6_dual_sim_td-lte_32gb
1553,http://phonedb.net/index.php?m=device&id=11874&c=meizu_pro_7_plus_standard_edition_dual_sim_td-lte_cn_64gb_m793q
1554,http://phonedb.net/index.php?m=device&id=11873&c=xiaomi_redmi_note_5_standard_edition_dual_sim_td-lte_cn_64gb_met7s__xiaomi_whyred
1555,http://phonedb.net/index.php?m=device&id=11872&c=zte_z971_blade_spark_lte
1556,http://phonedb.net/index.php?m=device&id=11871&c=huawei_y6_pro_2017_dual_sim_td-lte_sla-l22__p9_lite_mini
1557,http://phonedb.net/index.php?m=device&id=11869&c=samsung_sm-j330l_galaxy_j3_2017_td-lte__samsung_j330
1558,http://phonedb.net/index.php?m=device&id=11868&c=huawei_p10_selfie_dual_sim_lte-a_latam_bac-l23__huawei_barca
1559,http://phonedb.net/index.php?m=device&id=11860&c=huawei_enjoy_7_dual_sim_td-lte_cn_sla-tl10_32gb
1560,http://phonedb.net/index.php?m=device&id=11866&c=lg_m320dsn_k_series_k10_power_dual_sim_td-lte__lg_mlv7n
1561,http://phonedb.net/index.php?m=device&id=11856&c=zte_a521_blade_e02_dual_sim_td-lte__602zt
1562,http://phonedb.net/index.php?m=device&id=11865&c=asus_zenfone_4_max_5.5_dual_sim_lte_am_zc554kl_16gb
1563,http://phonedb.net/index.php?m=device&id=11862&c=lg_m700_q6_alpha_dual_sim_lte_16gb
1564,http://phonedb.net/index.php?m=device&id=11861&c=lg_k530f_k_series_stylus_2_plus_4g_lte__lg_ph2
1565,http://phonedb.net/index.php?m=device&id=11859&c=huawei_enjoy_7_kfc_30th_anniversary_edition_dual_sim_td-lte_cn_sla-al00_32gb
1566,http://phonedb.net/index.php?m=device&id=11858&c=htc_desire_555_4g_lte_na__htc_a16
1567,http://phonedb.net/index.php?m=device&id=11857&c=meizu_m5c_dual_sim_global_td-lte_m710h__blue_charm_5c__meizu_meilan_a5
1568,http://phonedb.net/index.php?m=device&id=11855&c=sharp_aquos_r_td-lte_605sh__sharp_polnareff
1569,http://phonedb.net/index.php?m=device&id=11606&c=nokia_8_global_dual_sim_td-lte
1570,http://phonedb.net/index.php?m=device&id=11851&c=lg_g600sr_g6_td-lte_32gb__lg_diva
1571,http://phonedb.net/index.php?m=device&id=11854&c=nokia_6_dual_sim_td-lte_am_32gb__hmd_d1c
1572,http://phonedb.net/index.php?m=device&id=11853&c=nokia_6_dual_sim_td-lte_tw_hk_32gb__hmd_d1c
1573,http://phonedb.net/index.php?m=device&id=11850&c=lg_g600kr_g6_td-lte_32gb__lg_diva
1574,http://phonedb.net/index.php?m=device&id=11849&c=samsung_sm-j330gds_galaxy_j3_pro_duos_td-lte__galaxy_j3_2017__samsung_j330
1575,http://phonedb.net/index.php?m=device&id=11848&c=louis_vuitton_tambour_horizon_42_watch_qaaa20__qaaa21__qaaa24__qaaa25__qaaa26__qaaa27
1576,http://phonedb.net/index.php?m=device&id=11847&c=zte_k81_grand_x_view_2_lte
1577,http://phonedb.net/index.php?m=device&id=11846&c=sharp_aquos_r_td-lte_sh-03j__sharp_polnareff
1578,http://phonedb.net/index.php?m=device&id=11844&c=asus_zenfone_ar_dual_sim_lte-a_na_64gb_zs571kl
1579,http://phonedb.net/index.php?m=device&id=11830&c=doro_8020x_lte
1580,http://phonedb.net/index.php?m=device&id=11803&c=intex_aqua_pro_4g_dual_sim_td-lte
1581,http://phonedb.net/index.php?m=device&id=11821&c=intex_aqua_4.0_4g_dual_sim_lte
1582,http://phonedb.net/index.php?m=device&id=11808&c=intex_aqua_supremeplus_dual_sim_td-lte
1583,http://phonedb.net/index.php?m=device&id=11843&c=hisense_h10_td-lte_dual_sim
1584,http://phonedb.net/index.php?m=device&id=11842&c=lg_m710ds_x_series_x_venture_dual_sim_lte-a__lg_lv9n
1585,http://phonedb.net/index.php?m=device&id=11809&c=intex_aqua_trend_lite_sim_td-lte
1586,http://phonedb.net/index.php?m=device&id=11841&c=lg_m700tv_q6_tv_dual_sim_td-lte_32gb
1587,http://phonedb.net/index.php?m=device&id=11822&c=intex_cloud_q11_4g_dual_sim_td-lte
1588,http://phonedb.net/index.php?m=device&id=11797&c=intex_aqua_4g_mini_dual_sim_td-lte
1589,http://phonedb.net/index.php?m=device&id=11823&c=intex_cloud_style_4g_sim_td-lte
1590,http://phonedb.net/index.php?m=device&id=11840&c=sugar_f11_td-lte_dual_sim
1591,http://phonedb.net/index.php?m=device&id=11804&c=intex_elyt-e7_dual_sim_td-lte
1592,http://phonedb.net/index.php?m=device&id=11801&c=intex_aqua_5.5_vr_dual_sim_td-lte
1593,http://phonedb.net/index.php?m=device&id=11820&c=intex_aqua_strong_5.1plus_dual_sim_td-lte
1594,http://phonedb.net/index.php?m=device&id=11839&c=xiaomi_mi_note_2_special_edition_dual_sim_td-lte_cn_64gb__xiaomi_scorpio
1595,http://phonedb.net/index.php?m=device&id=11837&c=alcatel_pulsemix_lte
1596,http://phonedb.net/index.php?m=device&id=11838&c=samsung_sm-g615fds_galaxy_on_max_2017_duos_td-lte__sm-g615fuds__samsung_g615
1597,http://phonedb.net/index.php?m=device&id=11802&c=intex_aqua_lions_4g_dual_sim_td-lte
1598,http://phonedb.net/index.php?m=device&id=11807&c=intex_aqua_zenith_dual_sim_td-lte
1599,http://phonedb.net/index.php?m=device&id=11836&c=lg_m700n_q6_td-lte_32gb
1600,http://phonedb.net/index.php?m=device&id=11835&c=asus_zenfone_4_max_5.5_dual_sim_lte_tw_jp_hk_sg_ph_zc554kl_16gb
1601,"http://phonedb.net/index.php?m=device&id=11833&c=apple_ipad_pro_12.9-inch_2017_2nd_gen_a1670_wifi_256gb__apple_ipad_7,1"
1602,http://phonedb.net/index.php?m=device&id=11834&c=lg_g600lr_g6_td-lte_32gb__lg_diva
1603,http://phonedb.net/index.php?m=device&id=11773&c=lyf_water_4_dual_sim_td-lte_ls-5005
1604,"http://phonedb.net/index.php?m=device&id=11832&c=apple_ipad_pro_10.5-inch_2017_a1709_td-lte_64gb__a1852__apple_ipad_7,4"
1605,http://phonedb.net/index.php?m=device&id=11818&c=samsung_sm-j530l_galaxy_j5_2017_td-lte__samsung_j530
1606,http://phonedb.net/index.php?m=device&id=11819&c=vodafone_smart_tab_n8_vfd1300_lte
1607,http://phonedb.net/index.php?m=device&id=11831&c=asus_zenfone_4_max_5.5_dual_sim_lte_emea_in_id_zc554kl_16gb
1608,http://phonedb.net/index.php?m=device&id=11816&c=blu_grand_x_lte
1609,http://phonedb.net/index.php?m=device&id=11828&c=lg_v525_g_pad_iii_8.0_fhd_lte__v525s1__v525s3__lg_b3
1610,http://phonedb.net/index.php?m=device&id=11827&c=lg_v520_g_pad_x_8.0_fhd_lte__lg_b3
1611,http://phonedb.net/index.php?m=device&id=11826&c=lg_p755l_g_pad_iii_10.1_fhd_lte__lg_b5
1612,http://phonedb.net/index.php?m=device&id=11825&c=asus_zenfone_4_max_5.5_dual_sim_lte_emea_in_id_zc554kl_32gb
1613,http://phonedb.net/index.php?m=device&id=11824&c=lg_x230dsf_k_series_k4_novo_2017_dual_sim_lte
1614,http://phonedb.net/index.php?m=device&id=11805&c=intex_elyt-e1_dual_sim_td-lte
1615,http://phonedb.net/index.php?m=device&id=11817&c=samsung_sm-j530k_galaxy_j5_2017_td-lte__samsung_j530
1616,http://phonedb.net/index.php?m=device&id=11806&c=intex_aqua_s3_dual_sim_td-lte
1617,http://phonedb.net/index.php?m=device&id=11815&c=samsung_sm-j530s_galaxy_j5_2017_td-lte__samsung_j530
1618,http://phonedb.net/index.php?m=device&id=11814&c=bbk_vivo_x9s_plus_dual_sim_td-lte_64gb
1619,http://phonedb.net/index.php?m=device&id=11813&c=lg_h870dsu_g6plus_dual_sim_td-lte__lg_diva
1620,http://phonedb.net/index.php?m=device&id=11790&c=lyf_earth_1_dual_sim_td-lte
1621,http://phonedb.net/index.php?m=device&id=11812&c=samsung_sm-j530fds_galaxy_j5_2017_duos_td-lte_16gb__galaxy_j5_pro__samsung_j530
1622,http://phonedb.net/index.php?m=device&id=11811&c=bbk_vivo_x9s_dual_sim_td-lte_64gb
1623,http://phonedb.net/index.php?m=device&id=11810&c=meizu_a5_dual_sim_td-lte_cn_m710m__blue_charm_a5__meizu_meilan_a5
1624,http://phonedb.net/index.php?m=device&id=11800&c=lg_h870u_g6_plus_td-lte_na__g6plus__lg_diva
1625,http://phonedb.net/index.php?m=device&id=11799&c=samsung_sm-j330fds_galaxy_j3_duos_2017_td-lte__samsung_j330
1626,http://phonedb.net/index.php?m=device&id=11798&c=telstra_signature_premium_lte-a__htc_hima_aero
1627,http://phonedb.net/index.php?m=device&id=11796&c=huawei_ascend_5w_h1623
1628,http://phonedb.net/index.php?m=device&id=11795&c=motorola_moto_g4_plus_4g_lte_latam_xt1641_64gb__motorola_athene
1629,http://phonedb.net/index.php?m=device&id=11794&c=motorola_moto_g5_plus_lte-a_latam_32gb_xt1680__motorola_potter
1630,http://phonedb.net/index.php?m=device&id=11793&c=motorola_moto_e4_td-lte_na_xt1768__motorola_andy
1631,http://phonedb.net/index.php?m=device&id=11792&c=motorola_defy_xt_xt557
1632,http://phonedb.net/index.php?m=device&id=11791&c=kyocera_torque_g03_wimax2plus_kyv41
1633,http://phonedb.net/index.php?m=device&id=11789&c=lg_h422_spirit_dual_sim_3g__lg_y70
1634,http://phonedb.net/index.php?m=device&id=11788&c=doogee_mix_lte_dual_sim_128gb
1635,http://phonedb.net/index.php?m=device&id=11787&c=zopo_speed_x_dual_sim_lte
