,full_link
56,http://phonedb.net/index.php?m=device&id=13361&c=samsung_sm-g965u1_galaxy_s9plus_td-lte_us_256gb__samsung_star_2
57,http://phonedb.net/index.php?m=device&id=13360&c=lg_lmx210cmr_risio_3_lte_us__lg_x210
58,http://phonedb.net/index.php?m=device&id=13359&c=bbk_vivo_x21_ud_dual_sim_td-lte_hk_sg
59,http://phonedb.net/index.php?m=device&id=13357&c=infocus_vision_3_pro_dual_sim_td-lte_in
60,http://phonedb.net/index.php?m=device&id=13340&c=meizu_15_plus_dual_sim_td-lte_cn_m891q_64gb
61,http://phonedb.net/index.php?m=device&id=13356&c=lg_lmg710em_g7_thinq_td-lte_emea__lg_judy
62,http://phonedb.net/index.php?m=device&id=13355&c=xiaomi_mi_6x_dual_sim_td-lte_cn_128gb_m1804d2se__mi_a2
63,http://phonedb.net/index.php?m=device&id=13353&c=samsung_sm-g960u1_galaxy_s9_td-lte_us_256gb__samsung_star
64,http://phonedb.net/index.php?m=device&id=13352&c=samsung_sm-a605fnds_galaxy_a6plus_2018_duos_td-lte__samsung_a605
65,http://phonedb.net/index.php?m=device&id=13354&c=samsung_sm-g965u1_galaxy_s9plus_td-lte_us_128gb__samsung_star_2
66,http://phonedb.net/index.php?m=device&id=13351&c=samsung_sm-a600fnds_galaxy_a6_2018_duos_td-lte__samsung_a600
67,http://phonedb.net/index.php?m=device&id=13350&c=bbk_vivo_x21_dual_sim_td-lte_hk_sg_128gb
68,http://phonedb.net/index.php?m=device&id=13348&c=samsung_sm-g960u1_galaxy_s9_td-lte_us_128gb__samsung_star
69,http://phonedb.net/index.php?m=device&id=13349&c=samsung_sm-g965u1_galaxy_s9plus_td-lte_us__samsung_star_2
70,http://phonedb.net/index.php?m=device&id=13331&c=bbk_vivo_v9_dual_sim_td-lte_ph_1723
71,http://phonedb.net/index.php?m=device&id=13346&c=wiko_robby_2_dual_sim_m1853
72,http://phonedb.net/index.php?m=device&id=13347&c=wiko_jerry_max_dual_sim_m1628
73,http://phonedb.net/index.php?m=device&id=13345&c=wiko_jerry_3_dual_sim_m2147
74,http://phonedb.net/index.php?m=device&id=13344&c=wiko_lenny_5_dual_sim_m2169
75,http://phonedb.net/index.php?m=device&id=13343&c=motorola_moto_e5_play_td-lte_na_16gb_xt1921-1__moto_e_play_gen_5
76,http://phonedb.net/index.php?m=device&id=13342&c=huawei_p20_lite_lte-a_emea_ane-l01__huawei_anne
77,http://phonedb.net/index.php?m=device&id=13341&c=lg_m320m_x_series_x_power_2_lte-a__lg_mlv7n
78,http://phonedb.net/index.php?m=device&id=13330&c=bbk_vivo_v9_dual_sim_td-lte_ru_1723
79,http://phonedb.net/index.php?m=device&id=13339&c=meizu_15_dual_sim_td-lte_cn_m881q_64gb
80,http://phonedb.net/index.php?m=device&id=13338&c=lg_lmx410eo_k_series_k11_2018_lte-a__lg_x410e
81,http://phonedb.net/index.php?m=device&id=13337&c=huawei_nova_3e_dual_sim_td-lte_cn_64gb_ane-tl00__huawei_anne
82,http://phonedb.net/index.php?m=device&id=13332&c=bbk_vivo_v9_dual_sim_td-lte_vn_my_bd_1723
83,http://phonedb.net/index.php?m=device&id=13336&c=oppo_r15_dual_sim_td-lte_tw_cph1835
84,http://phonedb.net/index.php?m=device&id=13335&c=oppo_r15_pro_dual_sim_td-lte_tw_cph1831
85,http://phonedb.net/index.php?m=device&id=13334&c=bbk_vivo_y65_dual_sim_lte_my_vn
86,http://phonedb.net/index.php?m=device&id=13333&c=bbk_vivo_y65_dual_sim_td-lte_kh
87,http://phonedb.net/index.php?m=device&id=13329&c=bbk_vivo_v9_dual_sim_td-lte_tw_hk_sg_1723
88,http://phonedb.net/index.php?m=device&id=13322&c=meizu_15_dual_sim_td-lte_cn_m881q_128gb
89,http://phonedb.net/index.php?m=device&id=13328&c=huawei_p20_lite_dual_sim_lte-a_latam_ane-lx3__ane-l23__huawei_anne
90,http://phonedb.net/index.php?m=device&id=13327&c=motorola_moto_e5_lte_latam_16gb_xt1944-3__moto_e_gen_5
91,http://phonedb.net/index.php?m=device&id=13326&c=oppo_f7_dual_sim_td-lte_my_version_2_64gb
92,http://phonedb.net/index.php?m=device&id=13325&c=zte_nubia_z18_mini_dual_sim_td-lte_64gb
93,http://phonedb.net/index.php?m=device&id=13324&c=huawei_p20_standard_edition_dual_sim_td-lte_cn_eml-tl00__huawei_emily
94,http://phonedb.net/index.php?m=device&id=13323&c=huawei_honor_10_premium_edition_dual_sim_td-lte_cn_col-al10
95,http://phonedb.net/index.php?m=device&id=13321&c=oppo_f7_dual_sim_td-lte_ae_ph_my_version_3_128gb
96,http://phonedb.net/index.php?m=device&id=13320&c=motorola_moto_e5_plus_lte_latam_16gb_xt1924-4__moto_e_plus_gen_5__motorola_emma
97,http://phonedb.net/index.php?m=device&id=13319&c=asus_zenfone_max_pro_m1_dual_sim_td-lte_in_id_version_a_zb602kl_64gb
98,http://phonedb.net/index.php?m=device&id=13318&c=lg_lmx210em_k_series_k9_2018_lte_emea__lg_x210e
99,http://phonedb.net/index.php?m=device&id=13314&c=motorola_moto_g6_plus_lte-a_latam_xt1926-6_64gb__motorola_teller
