,cpu,gpu,model,ram
0,"Qualcomm Snapdragon 636 SDM636, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 509 GPU",Qualcomm Adreno 509,X6 2018 Dual SIM TD-LTE CN 64GB,6.00
1,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,U12+ Dual SIM TD-LTE CN 128GB,6.00
2,"MediaTek MT6762 (Helio P22), 2018, 64 bit, octa-core, 12 nm, PowerVR GE8320 GPU",PowerVR GE8320,Vivo Y83 Dual SIM TD-LTE CN ,4.00
3,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,U12+ TD-LTE 64GB,6.00
4,"MediaTek MT6771 (Helio P60), 2018, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1024 Kbyte L2, 12 nm, ARM Mali-G72 GPU",ARM Mali-G72MP3,Vivo X21iA Dual SIM TD-LTE CN 64GB,6.00
5,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,U12+ Dual SIM TD-LTE 64GB,6.00
6,"MediaTek MT6771 (Helio P60), 2018, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1024 Kbyte L2, 12 nm, ARM Mali-G72 GPU",ARM Mali-G72MP3,Vivo X21iA Dual SIM TD-LTE CN 128GB,4.00
7,"Qualcomm Snapdragon 626 MSM8953 Pro, 2016, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",Qualcomm Adreno 506,Aquaris X Pro LTE Dual SIM 128GB,4.00
8,"Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,ZenFone Live L1 Dual SIM TD-LTE ID Version B ZA550KL 16GB,1.00
9,"Qualcomm Snapdragon 430 MSM8937, 2016, 64 bit, octa-core, 28 nm, Qualcomm Adreno 505 GPU",Qualcomm Adreno 505,simple sumaho 4 TD-LTE,3.00
10,"Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,ZenFone Live L1 Dual SIM TD-LTE ID Version B ZA550KL 32GB,2.00
11,"MediaTek MT6771 (Helio P60), 2018, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1024 Kbyte L2, 12 nm, ARM Mali-G72 GPU",ARM Mali-G72MP3,Vivo X21i Dual SIM TD-LTE CN 128GB,4.00
12,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,6 Dual SIM Global TD-LTE A6000 64GB,6.00
13,"MediaTek MT6771 (Helio P60), 2018, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1024 Kbyte L2, 12 nm, ARM Mali-G72 GPU",ARM Mali-G72MP3,Vivo X21i Dual SIM TD-LTE CN 64GB,6.00
14,"Qualcomm Snapdragon 660 SDM660, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 512 GPU",Qualcomm Adreno 512,Aquaris X2 Pro LTE Dual SIM 128GB ,6.00
15,"Qualcomm Snapdragon 636 SDM636, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 509 GPU",Qualcomm Adreno 509,Aquaris X2 LTE Dual SIM 64GB ,4.00
16,"HiSilicon Honor KIRIN970, 2017, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 10 nm, ARM Mali-G72 GPU",ARM Mali-G72MP12,Honor 10 Global Dual SIM TD-LTE 128GB COL-L29,4.00
17,"Qualcomm Snapdragon 660 SDM660, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 512 GPU",Qualcomm Adreno 512,Aquaris X2 Pro LTE Dual SIM 64GB,4.00
18,"Qualcomm Snapdragon 660 SDM660, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 512 GPU",Qualcomm Adreno 512,SM-A605G/DS Galaxy A6+ 2018 Duos TD-LTE APAC,4.00
19,"MediaTek MT6771 (Helio P60), 2018, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1024 Kbyte L2, 12 nm, ARM Mali-G72 GPU",AMR Mali-G72MP3,realme 1 Dual SIM TD-LTE IN 128GB,6.00
20,"Qualcomm Snapdragon 636 SDM636, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 509 GPU",Qualcomm Adreno 509,Aquaris X2 LTE Dual SIM 32GB,3.00
21,"Qualcomm Snapdragon 625 MSM8953, 2016, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",Qualcomm Adreno 506,Redmi S2 Dual SIM TD-LTE CN 64GB,4.00
22,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,AQUOS R2 TD-LTE 706SH,4.00
23,"Qualcomm Snapdragon 625 MSM8953, 2016, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",Qualcomm Adreno 506,Redmi S2 Dual SIM TD-LTE CN 32GB,3.00
24,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,Xperia XZ2 TD-LTE JP 702SO,4.00
25,"Qualcomm Snapdragon 435 MSM8940, 2016, 64 bit, octa-core, 28 nm, Qualcomm Adreno 505 GPU",Qualcomm Adreno 505,Note 6 TD-LTE Dual SIM 64GB,4.00
26,"Qualcomm Snapdragon 435 MSM8940, 2016, 64 bit, octa-core, 28 nm, Qualcomm Adreno 505 GPU",Qualcomm Adreno 505,Note 6 TD-LTE Dual SIM 32GB,3.00
27,"Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,X210ULM K Series K8+ 2018 LTE US,2.00
28,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,6 Dual SIM Global TD-LTE A6000 128GB,8.00
29,"Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,RS501 K Series K20 LRA 2017 LTE,2.00
30,"Qualcomm Snapdragon 210 MSM8909, 2014, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",Qualcomm Adreno 304,AS110 K Series K3 2017 LTE,1.00
31,"Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,L164VL Fiesta 2 LTE-A,2.00
32,"Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,L163BL Fiesta 2 LTE-A,2.00
33,"Qualcomm Snapdragon 210 MSM8909, 2014, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",Qualcomm Adreno 304,L158VL Rebel 3 LTE,2.00
34,"Qualcomm Snapdragon 210 MSM8909, 2014, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",Qualcomm Adreno 304,L157BL Rebel 3 LTE,2.00
35,"Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,X210ULMA K Series K8+ 2018 ACG LTE US,2.00
36,"HiSilicon Honor KIRIN659, 2017, 64 bit, octa-core, 16 nm, ARM Mali-T830 GPU",ARM Mali-T830MP2,Nova Lite 2 Dual SIM TD-LTE JP 704HW,3.00
37,"MediaTek MT6737, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,Y3 2018 Dual SIM LTE EMEA CAG-LX3 / CAG-L23,1.00
38,"Qualcomm Snapdragon 430 MSM8937, 2016, 64 bit, octa-core, 28 nm, Qualcomm Adreno 505 GPU",Qualcomm Adreno 505,Digno J TD-LTE JP 704KC,3.00
39,"HiSilicon Honor KIRIN970, 2017, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 10 nm, ARM Mali-G72 GPU",ARM Mali-G71MP12,Mate 10 Pro Dual SIM TD-LTE 703HW,6.00
40,"Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,LMX410TK K Series K30 LTE,2.00
41,"Qualcomm Snapdragon 636 SDM636, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 509 GPU",Qualcomm Adreno 509,Redmi Note 5 Standard Edition Global Dual SIM TD-LTE 64GB MEG7S ,4.00
42,"Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,LMX410UM K Series K30 Xfinity Mobile LTE,2.00
43,"HiSilicon Honor KIRIN970, 2017, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 10 nm, ARM Mali-G72 GPU",ARM Mali-G72MP12,P20 Pro TD-LTE JP CLT-L0J / CLT-L01J,6.00
44,"MediaTek MT8735, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720,A3 10 TD-LTE IN 9026T 32GB,3.00
45,"MediaTek MT6763T (Helio P23), 2017, 64 bit, octa-core, ARM Mali-G71 GPU",ARM Mali-G71MP2,A1 Dual SIM TD-LTE CN ,4.00
46,"Qualcomm Snapdragon 636 SDM636, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 509 GPU",Qualcomm Adreno 509,Redmi Note 5 Standard Edition Global Dual SIM TD-LTE 32GB MEG7S,3.00
47,"Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,X210ULMG  K Series K8 2018 LTE US,2.00
48,"Qualcomm Snapdragon 636 SDM636, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 509 GPU",Qualcomm Adreno 509,Redmi Note 5 Premium Edition Global Dual SIM TD-LTE 64GB MEG7S,6.00
49,"MediaTek MT6737, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,Eluga L7 Dual SIM TD-LTE,2.00
50,"Qualcomm Snapdragon 660 SDM660, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 512 GPU",Qualcomm Adreno 512,SM-G8750 Galaxy S Lite Luxury Edition Duos TD-LTE CN,4.00
51,"Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,LMX210CM Fortune 2 LTE US / K Series K8 2018,2.00
52,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,LMG710PM G7 ThinQ TD-LTE NA,4.00
53,"HiSilicon Honor KIRIN970, 2017, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 10 nm, ARM Mali-G72 GPU",ARM Mali-G72MP12,P20 Pro TD-LTE NA CLT-L04 / CLT-L04C,6.00
54,"Qualcomm Snapdragon 660 SDM660, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 512 GPU",Qualcomm Adreno 512,Mi 6X Dual SIM TD-LTE CN 64GB M1804D2SE,4.00
55,"Qualcomm Snapdragon 450 SDM450, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",Qualcomm Adreno 506,Vivo V9 Youth Edition Dual SIM TD-LTE TW 1727,4.00
56,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,SM-G965U1 Galaxy S9+ TD-LTE US 256GB,6.00
57,"Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,LMX210CMR Risio 3 LTE US,2.00
58,"Qualcomm Snapdragon 660 SDM660, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 512 GPU",Qualcomm Adreno 512,Vivo X21 UD Dual SIM TD-LTE HK SG,6.00
59,"MediaTek MT6750T, 2016, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,Vision 3 Pro Dual SIM TD-LTE IN ,4.00
60,"Samsung Exynos 9 Octa 8895M, 2017, 64 bit, octa-core, 2560 Kbyte L2, 10 nm, ARM Mali-G71 GPU",ARM Mali-G71MP20,15 Plus Dual SIM TD-LTE CN M891Q 64GB,6.00
61,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,LMG710EM G7 ThinQ TD-LTE EMEA,4.00
62,"Qualcomm Snapdragon 660 SDM660, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 512 GPU",Qualcomm Adreno 512,Mi 6X Dual SIM TD-LTE CN 128GB M1804D2SE / Mi A2,6.00
63,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,SM-G960U1 Galaxy S9 TD-LTE US 256GB,4.00
64,"Qualcomm Snapdragon 636 SDM636, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 509 GPU",Qualcomm Adreno 630,SM-A605FN/DS Galaxy A6+ 2018 Duos TD-LTE,4.00
65,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,SM-G965U1 Galaxy S9+ TD-LTE US 128GB,6.00
66,"Samsung Exynos 7 Octa 7870 (Joshua), 2016, 64 bit, octa-core, 14 nm, ARM Mali-T830 GPU",ARM Mali-T830MP2,SM-A600FN/DS Galaxy A6 2018 Duos TD-LTE,3.00
67,"Qualcomm Snapdragon 660 SDM660, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 512 GPU",Qualcomm Adreno 512,Vivo X21 Dual SIM TD-LTE HK SG 128GB,6.00
68,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,SM-G960U1 Galaxy S9 TD-LTE US 128GB,4.00
69,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,SM-G965U1 Galaxy S9+ TD-LTE US,6.00
70,"Qualcomm Snapdragon 626 MSM8953 Pro, 2016, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",Qualcomm Adreno 506,Vivo V9 Dual SIM TD-LTE PH 1723,4.00
71,"Qualcomm Snapdragon 210 MSM8909, 2014, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",Qualcomm Adreno 304,Robby 2 Dual SIM M1853,2.00
72,"MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",ARM Mali-400MP,Jerry Max Dual SIM M1628,1.00
73,"MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",ARM Mali-400MP2,Jerry 3 Dual SIM M2147,1.00
74,"MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",ARM Mali-400MP2,Lenny 5 Dual SIM M2169,1.00
75,"Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,Moto E5 Play TD-LTE NA 16GB XT1921-1 / Moto E Play Gen 5 ,2.00
76,"HiSilicon Honor KIRIN659, 2017, 64 bit, octa-core, 16 nm, ARM Mali-T830 GPU",ARM Mali-T830MP2,P20 Lite LTE-A EMEA ANE-L01,4.00
77,"MediaTek MT6750, 2016, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,M320M X Series X Power 2 LTE-A,2.00
78,"Qualcomm Snapdragon 626 MSM8953 Pro, 2016, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",Qualcomm Adreno 506,Vivo V9 Dual SIM TD-LTE RU 1723,4.00
79,"Qualcomm Snapdragon 660 SDM660, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 512 GPU",Qualcomm Adreno 512,15 Dual SIM TD-LTE CN M881Q 64GB,4.00
80,"MediaTek MT6750, 2016, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,LMX410EO K Series K11 2018 LTE-A,2.00
81,"HiSilicon Honor KIRIN659, 2017, 64 bit, octa-core, 16 nm, ARM Mali-T830 GPU",ARM Mali-T830MP2,Nova 3e Dual SIM TD-LTE CN 64GB ANE-TL00,4.00
82,"Qualcomm Snapdragon 626 MSM8953 Pro, 2016, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",Qualcomm Adreno 506,Vivo V9 Dual SIM TD-LTE VN MY BD 1723,4.00
83,"MediaTek MT6771 (Helio P60), 2018, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1024 Kbyte L2, 12 nm, ARM Mali-G72 GPU",AMR Mali-G72MP3,R15 Dual SIM TD-LTE TW CPH1835,6.00
84,"Qualcomm Snapdragon 660 SDM660, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 512 GPU",Qualcomm Adreno 512,R15 Pro Dual SIM TD-LTE TW CPH1831,6.00
85,"Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,Vivo Y65 Dual SIM LTE MY VN,3.00
86,"Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,Vivo Y65 Dual SIM TD-LTE KH,3.00
87,"Qualcomm Snapdragon 626 MSM8953 Pro, 2016, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",Qualcomm Adreno 506,Vivo V9 Dual SIM TD-LTE TW HK SG 1723,4.00
88,"Qualcomm Snapdragon 660 SDM660, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 512 GPU",Qualcomm Adreno 512,15 Dual SIM TD-LTE CN M881Q 128GB,4.00
89,"HiSilicon Honor KIRIN659, 2017, 64 bit, octa-core, 16 nm, ARM Mali-T830 GPU",ARM Mali-T830MP2,P20 Lite Dual SIM LTE-A LATAM ANE-LX3 / ANE-L23,4.00
90,"Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,Moto E5 LTE LATAM 16GB XT1944-3 / Moto E Gen 5,2.00
91,"MediaTek MT6771 (Helio P60), 2018, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1024 Kbyte L2, 12 nm, ARM Mali-G72 GPU",AMR Mali-G72MP3,F7 Dual SIM TD-LTE MY Version 2 64GB,4.00
92,"Qualcomm Snapdragon 660 SDM660, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 512 GPU",Qualcomm Adreno 512,Nubia Z18 mini Dual SIM TD-LTE 64GB,6.00
93,"HiSilicon Honor KIRIN970, 2017, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 10 nm, ARM Mali-G72 GPU",ARM Mali-G72MP12,P20 Standard Edition Dual SIM TD-LTE CN EML-TL00,6.00
94,"HiSilicon Honor KIRIN970, 2017, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 10 nm, ARM Mali-G72 GPU",ARM Mali-G72MP12,Honor 10 Premium Edition Dual SIM TD-LTE CN COL-AL10,6.00
95,"MediaTek MT6771 (Helio P60), 2018, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1024 Kbyte L2, 12 nm, ARM Mali-G72 GPU",AMR Mali-G72MP3,F7 Dual SIM TD-LTE AE PH MY Version 3 128GB,6.00
96,"Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,Moto E5 Plus LTE LATAM 16GB XT1924-4 / Moto E Plus Gen 5,2.00
97,"Qualcomm Snapdragon 636 SDM636, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 509 GPU",Qualcomm Adreno 509,ZenFone Max Pro M1 Dual SIM TD-LTE IN ID Version A ZB602KL 64GB,6.00
98,"Qualcomm Snapdragon 212 MSM8909v2, 2015, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",Qualcomm Adreno 304,LMX210EM K Series K9 2018 LTE EMEA,2.00
99,"Qualcomm Snapdragon 630 SDM630, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 508 GPU",Qualcomm Adreno 508,Moto G6 Plus LTE-A LATAM XT1926-6 64GB,4.00
100,"Qualcomm Snapdragon 212 MSM8909v2, 2015, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",Qualcomm Adreno 304,LMX210EMW K Series K9 2018 Dual SIM LTE EMEA,2.00
101,"Qualcomm Snapdragon 617 MSM8952, 2015, 64 bit, octa-core, 28 nm, Qualcomm Adreno 405 GPU",Qualcomm Adreno 405,Z963VL Max Duo LTE,2.00
102,"Qualcomm Snapdragon 617 MSM8952, 2015, 64 bit, octa-core, 28 nm, Qualcomm Adreno 405 GPU",Qualcomm Adreno 405,Z962BL Max Duo LTE,2.00
103,"Qualcomm Snapdragon 630 SDM630, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 508 GPU",Qualcomm Adreno 508,Moto G6 Plus TD-LTE EMEA XT1926-5 64GB / Moto G Plus Gen 6,4.00
104,"Qualcomm Snapdragon 430 MSM8937, 2016, 64 bit, octa-core, 28 nm, Qualcomm Adreno 505 GPU",Qualcomm Adreno 505,Moto G6 Play TD-LTE EMEA XT1922-2 32GB,3.00
105,"MediaTek MT6771 (Helio P60), 2018, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1024 Kbyte L2, 12 nm, ARM Mali-G72 GPU",AMR Mali-G72MP3,F7 Dual SIM TD-LTE RU AE PH Version 3 64GB,4.00
106,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,SM-G9650/DS Galaxy S9+ Duos TD-LTE CN 256GB,6.00
107,"Qualcomm Snapdragon 660 SDM660, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 512 GPU",Qualcomm Adreno 512,7 Plus Standard Edition Dual SIM TD-LTE APAC,4.00
108,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,SM-G9600/DS Galaxy S9 Duos TD-LTE CN 128GB,4.00
109,"Qualcomm Snapdragon 636 SDM636, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 509 GPU",Qualcomm Adreno 509,mblu E3 Dual SIM TD-LTE CN M851Q 128GB,6.00
110,"Qualcomm Snapdragon 427 MSM8920, 2017, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,Moto G6 Play TD-LTE NA XT1922-9 16GB / Moto G Play Gen 6,2.00
111,"HiSilicon Honor KIRIN659, 2017, 64 bit, octa-core, 16 nm, ARM Mali-T830 GPU",ARM Mali-T830MP2,Nova 2 Plus Dual SIM TD-LTE APAC 128GB BAC-L22,4.00
112,"HiSilicon Honor KIRIN659, 2017, 64 bit, octa-core, 16 nm, ARM Mali-T830 GPU",ARM Mali-T830MP2,Nova 2 Plus LTE-A EMEA BAC-L01,4.00
113,"HiSilicon Honor KIRIN659, 2017, 64 bit, octa-core, 16 nm, ARM Mali-T830 GPU",ARM Mali-T830MP2,Nova 2 Plus Dual SIM LTE-A EMEA BAC-L21,4.00
114,"Qualcomm Snapdragon 630 SDM630, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 508 GPU",Qualcomm Adreno 508,Xperia XA2 Dual SIM TD-LTE H4133,3.00
115,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,SM-G9608/DS Galaxy S9 Duos 4G+ TD-LTE CN ,4.00
116,"HiSilicon Honor KIRIN659, 2017, 64 bit, octa-core, 16 nm, ARM Mali-T830 GPU",ARM Mali-T830MP2,P10 Selfie LTE-A LATAM BAC-L03,4.00
117,"Qualcomm Snapdragon 660 SDM660, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 512 GPU",Qualcomm Adreno 512,7 Plus Android One Dual SIM TD-LTE IN,4.00
118,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,SM-G9650/DS Galaxy S9+ Duos TD-LTE CN 128GB,6.00
119,"Qualcomm Snapdragon 450 SDM450, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",Qualcomm Adreno 506,Moto G6 TD-LTE NA 64GB XT1925-6 / Moto G Gen 6 XT1925-12 / XT1925DL,4.00
