,cpu,gpu,model,ram
9882,"Qualcomm Snapdragon S2 MSM8655, 2011, 32 bit, single-core, 256 Kbyte L2, 45 nm, Qualcomm Adreno 205 GPU",Qualcomm Adreno 205,BlackBerry Curve 9320 SKU2,512
9883,"Qualcomm Snapdragon S4 MSM8960, 2012, 32 bit, dual-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 230 GPU",Qualcomm Adreno 225,Xperia SX SO-05D,1.00
9884,"Qualcomm MSM7225A (Snapdragon S1), 2011, 32 bit, single-core, 45 nm, Qualcomm Adreno 200 enhanced GPU",Qualcomm Adreno 200,SH330U,256
9885,"Samsung Exynos 4 Quad 4412, 2012, 32 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 32 nm, ARM Mali-400 GPU",ARM Mali-400,GT-i9308 Galaxy S3,1.00
9886,"Qualcomm Snapdragon S4 MSM8960, 2012, 32 bit, dual-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 230 GPU",Qualcomm Adreno 225,F-160K Optimus LTE2,2.00
9887,"Qualcomm Snapdragon S4 MSM8960, 2012, 32 bit, dual-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 230 GPU",Qualcomm Adreno 225,F-160S Optimus LTE2,2.00
9888,"Qualcomm Snapdragon S4 MSM8960, 2012, 32 bit, dual-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 230 GPU",Qualcomm Adreno 225,F-160L Optimus LTE 2 / LTE2,2.00
9889,"Samsung Exynos 4 Quad 4412, 2012, 32 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 32 nm, ARM Mali-400 GPU",ARM Mali-400,GT-i9300 Galaxy S III 64GB,1.00
9890,"Samsung Exynos 4 Quad 4412, 2012, 32 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 32 nm, ARM Mali-400 GPU",ARM Mali-400,GT-i9300 Galaxy S III 16GB / Galaxy S3,1.00
9891,"Qualcomm Snapdragon S4 MSM8960, 2012, 32 bit, dual-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 230 GPU",Qualcomm Adreno 225,Samsung SCH-i535 Galaxy S3,2.00
9892,"Qualcomm MSM7627A (Snapdragon S1), 2011, 32 bit, single-core, 45 nm, Qualcomm Adreno 200 enhanced GPU",Qualcomm Adreno 225,Ascend C8812,512
9893,"Marvell PXA920, 2009, 32 bit, single-core",Qualcomm Adreno 225,Ascend G305T,512
9894,"Qualcomm Snapdragon S2 MSM8255, 2010, 32 bit, single-core, 256 Kbyte L2, 45 nm, Qualcomm Adreno 205 GPU",Qualcomm Adreno 225,Medias 101S,512
9895,"Texas Instruments OMAP 4430, 2011, 32 bit, dual-core, 1024 Kbyte L2, 45 nm, IMG PowerVR SGX540 GPU",Qualcomm Adreno 225,GT-i9050,1.00
9896,"Qualcomm MSM7225A (Snapdragon S1), 2011, 32 bit, single-core, 45 nm, Qualcomm Adreno 200 enhanced GPU",Qualcomm Adreno 200,Xperia Tipo ST21 / ST21i,512
9897,"Texas Instruments OMAP 4430, 2011, 32 bit, dual-core, 1024 Kbyte L2, 45 nm, IMG PowerVR SGX540 GPU",PowerVR SGX540,NOOK Tablet 16GB,1.00
9898,"Texas Instruments OMAP 4430, 2011, 32 bit, dual-core, 1024 Kbyte L2, 45 nm, IMG PowerVR SGX540 GPU",PowerVR SGX540,NOOK Tablet 8GB,512
9899,"Texas Instruments OMAP 3621, 2010, 32 bit, single-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 45 nm, IMG PowerVR SGX530 GPU",PowerVR SGX530,NOOK Color,512
9900,"Texas Instruments OMAP 3621, 2010, 32 bit, single-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 45 nm, IMG PowerVR SGX530 GPU",PowerVR SGX530,NOOK Simple Touch WiFi,256
9901,"Texas Instruments OMAP 4430, 2011, 32 bit, dual-core, 1024 Kbyte L2, 45 nm, IMG PowerVR SGX540 GPU",PowerVR SGX540,Kindle Fire,512
9902,"Qualcomm Snapdragon S3 APQ8060, 2011, 32 bit, dual-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 512 Kbyte L2, 45 nm, Qualcomm Adreno 220 GPU",Qualcomm Adreno 220,SGH-T879 Galaxy Note,1.00
9903,"Qualcomm MSM7227A (Snapdragon S1), 2011, 32 bit, single-core, 45 nm, Qualcomm Adreno 200 enhanced GPU",Qualcomm Adreno 200,Defy Pro XT560 A,512
9904,"ARM Cortex-A8, 2005, 32 bit, single-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1024 Kbyte L2, 65 nm",Qualcomm Adreno 200,GoTab Xerios TAB461EUK,512
9905,"ARM Cortex-A8, 2005, 32 bit, single-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1024 Kbyte L2, 65 nm",Qualcomm Adreno 200,GoTab Xerios TAB464,512
9906,"ARM Cortex-A8, 2005, 32 bit, single-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1024 Kbyte L2, 65 nm",Qualcomm Adreno 200,GoTab Xerios TAB460,512
9907,"ARM Cortex-A8, 2005, 32 bit, single-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1024 Kbyte L2, 65 nm",Qualcomm Adreno 200,GoTab Xerios TAB424,512
9908,"ARM 1136JF-S, 2002, 32 bit, single-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache",Qualcomm Adreno 200,GoTab Slimline TAB450,512
9909,"ARM 1136JF-S, 2002, 32 bit, single-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache",Qualcomm Adreno 200,GoTab Slimline TAB411,512
9910,"ARM Cortex-A8, 2005, 32 bit, single-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1024 Kbyte L2, 65 nm",Qualcomm Adreno 200,GoTab Xerios TAB420,512
9911,"ARM 1136JF-S, 2002, 32 bit, single-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache",Qualcomm Adreno 200,TAB410,512
9912,"ARM Cortex-A8, 2005, 32 bit, single-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1024 Kbyte L2, 65 nm",ARM Mail-200,GoTab Zetta TAB468EUK,1.00
9913,"ARM Cortex-A8, 2005, 32 bit, single-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1024 Kbyte L2, 65 nm",ARM Mail-200,GoTab Exxa TAB465EUK / GoTab Zetta TAB467EUK,512
